id,reference_len,query_len,regions,contigs,matches,mismatches,deletions,query_coverage,identity
367551at33208,459,414,37,74,228,186,45,90.2,55.07
187280at33208,554,473,4,22,264,209,81,85.38,55.81
158962at33208,586,74,4,12,53,21,512,12.63,71.62
391896at33208,339,328,10,22,173,155,11,96.76,52.74
224280at33208,535,463,7,10,348,115,72,86.54,75.16
364694at33208,492,303,5,10,176,127,189,61.59,58.09
530431at33208,457,429,1,36,213,216,28,93.87,49.65
203698at33208,1168,857,18,22,350,507,311,73.37,40.84
407472at33208,269,263,12,23,148,115,6,97.77,56.27
456998at33208,170,70,5,9,41,29,100,41.18,58.57
184717at33208,602,546,13,37,404,142,56,90.7,73.99
421396at33208,281,280,4,9,178,102,1,99.64,63.57
459253at33208,285,249,1,13,160,89,36,87.37,64.26
367596at33208,843,703,1,23,351,352,140,83.39,49.93
428202at33208,420,404,4,5,197,207,16,96.19,48.76
389570at33208,410,300,1,9,138,162,110,73.17,46.0
565053at33208,225,122,10,13,49,73,103,54.22,40.16
255924at33208,537,378,23,50,185,193,159,70.39,48.94
323399at33208,408,385,8,22,166,219,23,94.36,43.12
315393at33208,285,176,7,8,105,71,109,61.75,59.66
303117at33208,396,351,27,38,168,183,45,88.64,47.86
177858at33208,635,590,20,36,326,264,45,92.91,55.25
489997at33208,349,269,13,24,120,149,80,77.08,44.61
495175at33208,211,202,3,6,127,75,9,95.73,62.87
474302at33208,261,148,8,10,62,86,113,56.7,41.89
57158at33208,1213,1011,1,1,571,438,204,83.18,56.59
368670at33208,315,283,1,1,215,68,32,89.84,75.97
210614at33208,816,434,1,1,223,211,382,53.19,51.38
194754at33208,833,779,3,5,345,434,54,93.52,44.29
478073at33208,259,201,4,5,135,66,58,77.61,67.16
594172at33208,150,102,1,1,94,8,48,68.0,92.16
510174at33208,394,133,1,2,103,30,261,33.76,77.44
586310at33208,182,174,1,1,78,96,8,95.6,44.83
617667at33208,95,46,1,1,33,13,49,48.42,71.74
552764at33208,186,174,8,11,62,112,12,93.55,35.63
340577at33208,558,315,1,1,198,117,243,56.45,62.86
438133at33208,355,283,5,4,187,96,72,79.72,66.08
603673at33208,117,95,1,1,62,33,22,81.2,65.26
273989at33208,443,305,20,35,124,181,138,68.85,40.66
465703at33208,195,90,1,1,54,36,105,46.15,60.0
366936at33208,295,293,30,102,198,95,2,99.32,67.58
566527at33208,235,229,4,4,110,119,6,97.45,48.03
306101at33208,401,342,4,13,204,138,59,85.29,59.65
423799at33208,271,124,2,3,51,73,147,45.76,41.13
549156at33208,154,153,7,19,84,69,1,99.35,54.9
363851at33208,290,272,1,2,85,187,18,93.79,31.25
153034at33208,598,443,1,27,251,192,155,74.08,56.66
50756at33208,1168,419,2,4,247,172,749,35.87,58.95
608924at33208,136,122,1,1,90,32,14,89.71,73.77
115878at33208,280,70,1,1,54,16,210,25.0,77.14
584333at33208,219,140,1,1,65,75,79,63.93,46.43
273040at33208,357,101,1,1,61,40,256,28.29,60.4
251076at33208,401,373,1,2,278,95,28,93.02,74.53
510581at33208,295,231,1,1,144,87,64,78.31,62.34
311761at33208,501,316,1,1,113,203,185,63.07,35.76
139188at33208,596,530,1,1,193,325,78,86.91,37.26
443659at33208,211,182,1,1,73,109,29,86.26,40.11
603609at33208,136,45,1,1,30,15,91,33.09,66.67
147873at33208,620,422,1,1,241,181,198,68.06,57.11
514892at33208,259,192,1,1,120,72,67,74.13,62.5
231157at33208,484,373,4,4,183,190,111,77.07,49.06
567809at33208,154,78,1,1,70,8,76,50.65,89.74
529852at33208,186,123,1,1,64,59,63,66.13,52.03
636423at33208,138,136,1,1,69,67,2,98.55,50.74
505248at33208,168,160,10,8,70,90,8,95.24,43.75
517525at33208,328,270,35,50,127,143,58,82.32,47.04
166097at33208,558,557,3,11,348,209,1,99.82,62.48
119252at33208,565,472,2,4,315,157,93,83.54,66.74
535782at33208,234,167,2,3,80,87,67,71.37,47.9
366124at33208,327,288,7,12,159,129,39,88.07,55.21
40200at33208,587,501,3,3,195,306,86,85.35,38.92
240437at33208,289,287,1,7,211,76,2,99.31,73.52
278227at33208,346,262,1,1,153,109,84,75.72,58.4
472313at33208,308,258,11,12,147,111,50,83.77,56.98
